id	text	title
1	综合报导，国民党总统曁立委候选人桃园团结向上造势大会21日下午举行，总统参选人侯友宜致词表示，若当选，要在最高检察署成立“特别侦查组”，彻底查办贪污舞弊。国民党下午在桃园市新陶芳餐厅举办总统暨桃园市立委参选人团结向上造势大会，侯友宜与国民党主席朱立伦一同大进场，现场“总统好”喊声不断，桃园市长张善政、桃园市议会议长邱奕胜等人，也到场为侯友宜及立委参选人拉抬声势。侯友宜表示，回到桃园熟悉老地方，他20多年前在这和大家并肩作战，桃园一直给他许多力量。不过话锋一转，“大家过得好吗？”，侯说，民主是人民作主，不过现在民进党才是主，人民的信任已消失，对政府失去信心，外资不进来投资，今年的出口金额大幅减少，大家熟悉的缺水、蛋及人才都是在民进党政府任内，不仅经济衰退，生活更不好，物价通膨的苦日子大家受够了。侯指出，这次被征召民进党用奥步抹黑，他用台湾最善良包容温暖精神，却被民进党主席赖清德操作，造成族群对立、撕裂社会，一定要下架民进党，因为国家安全他们做不到，民进党任内多少权贵黑金、光电弊案，疫苗采购都不清楚，他若当选，要用几十年办案经验，成立特别侦查组，让专责单位不	侯友宜桃园造势 再抛当选后成立特侦组查弊案
2	三立新闻20日报导，民众党主席柯文哲已经和国民党主席朱立伦通话、也和秘书长黄健庭见过面谈蓝白合议题，引发民众党不满，柯文哲竞选总部总干事黄珊珊及民众党干部21日下午到台北地检署控告三立新闻加重诽谤罪，并对三立新闻公司及报导记者等人提告民事求偿新台币100万元，并称即日起民众党拒上三立政论节目。对此，三立新闻21日发声明表示，20日晚间新闻播出之相关内容，皆有2位以上消息来源，依新闻专业求证并平衡报导，可受各界公评。黄珊珊昨晚也在脸书发布4点声明，痛斥“恶意媒体，恶意泼脏水，捏造不实消息，造谣中伤”，除了否认报导内容之外，也提及民众党不会走宫廷政治的回头路。媒体报导，黄珊珊今天表示，昨天下午开始，三立新闻不实报导，经过他们跟电视台说明，要求下架及澄清，三立依然继续播放。内容非常清楚，援用所谓独家报导，引用不明人士，甚至捏造一些相关内容。 黄珊珊说，国民党主席和柯文哲主席从来没有在这段时间说过这样的电话。其次也更不可能针对相关的部分，提出所谓这样的内容。最重要的是，这个事件如此重大，三立竟然没有对民众党，或是相关的人员进行查证，这才是媒体为了要做不实报导	民众党不满“蓝白合”报导不实 控告三立、拒上节目
3	民进党总统参选人赖清德日前称，当总统可以走入白宫，所追求的政治目标就已经达成。外传美国白宫官员要求台湾方面澄清赖清德此段发言。国民党总统参选人侯友宜对此表示，赖清德说过他是务实的台独工作者，又说要走入白宫，对于外界的质疑赖清德要去面对。赖清德日前称，当台湾总统可以走入白宫，所追求的政治目标就已经达成。英国《金融时报》19日报导指出，赖清德的言论促使美国政府寻求解释。侯友宜今日中午赴网络节目“News 98小董真心话”接受主持人董智森专访，并于会后接受媒体联访。怎么看赖清德的走入白宫说，还引发白宫关注？ 侯友宜表示，赖清德不是说他是台独务实的工作者吗？又说他要走入白宫，那当然外界就有很多的质疑的声音，他必须要去面对这些声音来回应。另一方面，国民党已规范党员不得为他党2024参选人站台、造势，但国民党立委参选人徐巧芯20日参加民众党政论直播节目，还表示11、12月时谁能够站稳第2名的脚步，民众会自己做整合。是否支持动用党纪处理徐巧芯案？侯友宜表示，面对这些事情，我相信大家心中都会守着我们自己的承诺，勇敢地守护中华民国，来让我们国家能够和平安定	“进白宫”言论惹议 侯友宜：赖清德必须回应质疑
4	单厚之／评论国民党周日将举行全代会正式提名侯友宜参选总统，由于侯友宜民调不振，各界已经开始讨论“蓝白合”的可能性，但侯友宜竞办执行长金溥聪和国民党主席的态度似乎不尽相同，金溥聪日前接受专访时说，“柯侯配”百分之百不可能，而朱立伦却说“我们什么都可能”。而“蓝白合”的另一个主角—民众党总统参选人柯文哲则表示，蓝白合要“顺其自然，再拖一、两月，有时候真的水到渠成”。柯文哲还说，现在跟国民党合作就是不提人，尤其蓝绿五五波的地区，一旦民众党提名，国民党就挂了。国民党723将举行全代会，从5月17日国民党确定征召侯友宜以来，蓝军就一直为了“换侯”议题纷扰不断，即便党中央一再表态“换侯绝无可能”，国民党中常委和地方派系仍然动作不断，直至今日仍有要在全代会翻盘的声音。过去两个多月，国民党和侯友宜一直陷在党内的泥淖，寸步难行。金溥聪6月底加入侯团队之后，迅速祭出党纪压制党内“亲柯”的声音，也对呛主张“侯下韩上”的郑丽文，但仍无法完全压制党内的杂音。可以预见，在全代会正式提名侯友宜之后，国民党必然会有更强势的动作，压制党内的“亲郭”力量，甚至很可能祭出党纪，让国民党至	蓝白合真能水到渠成？
5	台湾民意基金会20日上午发布“民众对郭台铭独立参选2024的态度”即时民调，结果显示，20岁以上台湾人中，约四成二乐见鸿海集团创办人郭台铭独立参选2024，四成三不乐见。但2024大选如果由民进党赖清德、中国国民党侯友宜、台湾民众党柯文哲及郭台铭四人竞争，民调显示，33.9％的民众支持赖清德，20.5％柯文哲，18％侯友宜，15.2％郭台铭，7.4％尚未能决定，4.9％没意见、不知道、拒答。台湾民意基金会民调，对民众是否乐见郭台铭独立参选？民调显示，16.6％非常乐见，24.9％还算乐见，23.4％不太乐见，19.8％一点也不乐见，12％没意见，3.4％不知道。换句话说，20岁以上台湾人中，约四成二乐见郭台铭独立参选2024，四成三不乐见。这项发现传达了一个讯息，那就是，台湾选民对郭台铭拟独立参选2024看法分歧，乐见与不乐见者旗鼓相当，几乎不相上下。民调分析，从政党支持角度看，不同政党属性选民对郭台铭独立参选的态度明显不一样。民进党支持者中，五成七乐见，三成二不乐见；国民党支持者中，二成五乐见，六成八不乐见；民众党支持者中，四成乐见，五成不乐见；中性选	台湾民意基金会民调：4脚督对决 郭台铭15％垫底
6	国民党23日将举行全代会，正式通过提名新北市长侯友宜为党籍2024参选人，并邀请前高雄市长韩国瑜参加。但原本外传韩不会出席，但韩国瑜办公室今日回应表示，韩先生会出席7月23日全代会，和国民党提名的总统和立委候选人，并肩坐在一起下架民进党，捍卫中华民国！侯友宜至今民调仍在低档盘旋，加上党内“换侯”杂音未除，整合仍有困难。侯过去以“岁月静好”不挺高雄市前市长韩国瑜参选2020，导致韩始终没有松口喊出“支持侯友宜”。之前还传出韩国瑜没规划出席全代会。不过，韩办中午回应媒体询问表示，“韩先生会出席7/23 全代会”。【中评社】【图片为资料照】	确定出席723全代会 韩国瑜：将和候选人并肩下架民进党
7	对于最近民调趋势显示，民进党2024参选人赖清德支持度三成多，是否已经达到天花板，是否缺少英粉支持？民进党高层透露说，如果选举是一对一，要当选就要超过四成或五成，但现在3个人竞争分到分数当然比较低。民进党目标族群会放在年轻人，这部分的确是要加强，另外基本上各阵营也在竞逐中间选民，以目前民调来看，绿营支持度不高，但国民党侯友宜也面对蓝营支持度低的问题，针对年轻选民与中间选民部分，是赖清德要努力的地方。中间选民目前讨厌民进党氛围浓厚，是否民进党侧翼让人讨厌？民进党高层也说，说实在对于义勇军，没有这么这么明确的联系，或是各党养网军等，蛮难回答这个问题。毕竟民进党是执政党，对手会营造讨厌民进党氛围，希望促成蓝白合作，这是可以想见。作为一个执政党在政策上，必须赢得台湾人认同，蔡英文执政从财政、社会安全网等，甚至国际间走向世界都有进步。赖清德未来会在好的基础上去提升，让台湾人民感受到民进党执政稳定的力量。目前内阁来看，包含行政院长陈建仁、副院长郑文灿在施政上细腻、温暖程度，有助于消除、降低讨厌民进党的氛围。根据最近民调趋势，民进党高层也分析，民调看法和大家差不多，蓝营目	民进党：赖清德女性选票优势 需开拓年轻与中间选民
8	综合报导，国民党台中市党部19日晚为总统参选人侯友宜举办“台中卢好 台湾越侯”千人造势，党主席朱立伦与台中市长卢秀燕同台力挺。侯友宜在会中表示，虽然大家为选情感到焦虑，请大家相信他一定会勇往直前，在两岸不稳定时，他会用生命守护中华民国。侯友宜表示，大家看到有很多诈骗案，1年被骗金额超过700亿元，造成多少家庭悲剧，还有很多弊案，例如权贵假投资案、台南光电开88枪案、疫苗采购弊案等，到现在都还没有搞清楚，就换他来搞清楚，给人民1个希望、1个交代。侯友宜指出，他是基层出身，1个人到北部，承担守护中华民国的责任及国家安全，这是他不变的信念，在两岸不稳定、兵凶战危时，他期待用生命守护中华民国，让年轻人不用上战场。侯友宜表示，虽然选情让大家都很焦虑，请大家相信，他一定会勇往直前，在此最困难的时候，与所有的立委参选人一起努力奋战，相信一定赢得最后的选举，赢回中华民国，让2024大选不仅赢得胜利，台中市立委选战也全垒打。卢秀燕力挺侯友宜说，相信侯友宜当选总统，一定会支持台中的捷运计划，也会有正确的能源政策，改善中部空污，不会让中部人用肺发电，她更以自己参选市长选举	侯友宜台中造势喊话逆转选情 朱立伦再驳换侯说
9	综合报导，民进党19日下午举行中常会中，党主席赖清德在会中表示，7月16日党代表大会圆满完成，跨领域、跨世代、跨党派的“民主大联盟”立委候选人也已整备成军，希望每位候选人全力争取胜利。发言人张志豪转述党主席赖清德会中致词，赖主席提到，7月16日党代表大会已经圆满完成，感谢党部各位同仁，大家辛苦了，也感谢各位中常委、执评委的支持。负责大会议事程序的柯建铭总召，协助大会宣言的苏巧慧委员，大家分工合作顺利达成，谢谢大家。赖清德接着说，党代表大会已经完成，也代表“民主大联盟”跨领域、跨世代、跨党派的立委候选人已经整备成军，希望每一位候选人全力以赴，争取胜利。另外，赖清德也提到，“民主大联盟”的意义不只有候选人的团队而已，包括刚刚邀请姚老师来演讲，民主大联盟的系列演讲，以及社会上各领域等都是民主大联盟的对象。赖清德说，党代表大会里面特别提到，未来还会将民主大联盟的精神推广到社会，连结各领域优秀人才，一起推动国家希望工程，打造台湾成为民主和平的台湾、创新繁荣的台湾，以及公益永续的台湾，“这个目标我们一起来”。【图片为资料照】	全代会落幕 赖清德：民主大联盟整备成军全力取胜
10	传出国民党中常委有意于23日全代会前在中常会上提案，以非绿整合之名行“换侯”之实。但今天是全代会前最后一次中常会，并没有出现相关提案。但传出力挺鸿海创办人郭台铭的中常委、屏东县议长周典论女儿周孟蓉，在会中向党主席朱立伦提出质疑，为什么党工可以打电话叫中常委不要提案？难道党工比较大？据转述，朱立伦对此并未和周孟蓉正面对决，而是以低姿态回应对方，希望大家一起团结对外，还勉励周在南部帮忙辅选很辛苦等等，并未让事件扩大。周孟蓉在中常会后受访时，并不愿多谈常会上的事，仅表示今天常会上并未有中常委提案。媒体另外询问，未来是否可能力挺国民党2024参选人侯友宜？周孟蓉只说，党内要团结，朝向“蓝白合”机会来努力，她并强调这是应该赶快去做的事情。　媒体追问，郭台铭今天早上的行程都有看到她的身影，是否担心会被党中央或侯竞办执行长金溥聪留下记号？周孟蓉回应，“金先生”她真的不熟，金要留下她什么记号，她也不知道。况且“金先生”不是党主席，所以基本上她不考虑也不担心，只要能为党团结的事情，她都愿意去做。　媒体还问，金溥聪接下来要拜访地方派系，是否跟她联系？周孟蓉说	换侯提案被压？ 周孟蓉呛朱立伦：党工大还常委大？
